BindingDB_MonomerID,Affinities
50152110,5.3756
50153015,4.3251
50154568,5.4291
50154575,5.2329
50154578,5.3262
50154581,5.605
50154619,5.493
50154622,6.327
50154623,6.3116
50154624,6.2062
50154626,6.1445
50154636,5.9311
50154637,5.8184
50154638,5.1971
50156022,6.9666
50156023,5.9048
50156024,5.8925
50156028,6.3002
50156030,5.7224
50156093,6.1445
50156096,6.0814
50156097,5.8002
50156099,6.7986
50156100,7.9586
50156101,8.0605
50157304,6.6885
50160092,8.284
50160093,5.8861
50160094,7.1805
50160095,8.7696
50160096,6.6778
50160097,8.7212
50160098,7.6576
50160099,8.5086
50160100,8.8861
50160101,5.2218
50160102,7.1871
50160103,8.5686
50160104,7.3665
50160105,7.4949
50160106,7.4949
50160107,7.9586
50160108,8.4685
50160109,7.4559
50160110,6.3188
50160111,7.7696
50160112,8.2004
50160113,8.4559
50160114,6.0922
50160115,8.8861
50160116,7.5086
50160117,8.4685
50160118,7.2518
50160119,7.284
50160120,7.2757
50160121,7.7447
50160122,7.7447
50160123,7.0223
50160124,7.6778
50160125,8.5086
50160126,6.2757
50160127,8.1549
50160128,8.1427
50160129,7.7447
50160130,5.699
50160131,8.8239
50160132,8.7447
50160133,8.2218
50160134,6.4685
50160135,7.3872
50160136,8.5376
50160137,8.8539
50160138,8.0969
50160140,6.3979
50160141,6.6778
50160142,6.3372
50160143,8.7447
50160144,7.2366
50160145,8.7212
50160424,4
50160425,5.9311
50160427,5.706
50160428,5.7498
50160429,7.1024
50160430,5.6366
50160431,6.3206
50160432,6.068
50160434,5.5478
50160435,4.9737
50160436,5.755
50160437,4.1421
50160438,5.4487
50160439,6.6289
50160440,5.716
50160441,5.9473
50160442,6.0535
50160443,7.0757
50160444,5.9307
50160445,6.9318
50160446,6.5729
50161551,8.0969
50161552,6.2676
50161553,6.7698
50161554,8.2147
50161555,6.3336
50161556,6.3468
50161557,6.7212
50161558,5.5086
50161559,5.1549
50161560,6.301
50161561,5.2209
50161562,7.2218
50161563,7.7959
50161564,4.7206
50161565,6.585
50161566,7.7696
50161567,5.7206
50161568,5.8239
50161569,8.3872
50161570,7.0969
50161571,6.585
50161572,8.3979
50161573,5.4643
50161574,5.6538
50161575,5.7424
50161576,6.0458
50161577,5.9586
50161578,6.3279
50161579,6.699
50161580,6
50161581,7.1549
50161582,7.3372
50161583,7.1549
50161584,6.0458
50161585,8.284
50163111,7.5686
50163112,7.8539
50163113,6.7055
50163114,6.4179
50163115,7.4559
50163116,6.644
50163117,7.4685
50163118,6.767
50163119,7.5686
50163120,7.5229
50163122,7.5229
50163123,6.3947
50163124,7.1938
50163125,6.4486
50163126,7.4559
50163127,6.7645
50163128,7.284
50163129,7.2218
50163130,6.399
50163131,6.4776
50163132,7.6383
50163133,6.9747
50163134,7.2596
50163135,7.0269
50163136,7.4437
50163137,6.082
50163138,7.4815
50163139,7.7212
50163140,7.5376
50164428,5.659
50164429,6.2299
50164430,5.7399
50164431,6.06
50164432,6.1403
50164433,5.7501
50164435,5.4201
50164436,5.26
50164437,5.4401
50164438,5.6801
50164439,5.76
50164440,5.66
50164441,6.0031
50164442,5.8502
50164443,5.46
50165673,5.6017
50165674,5.8077
50165675,5.9706
50165676,5.7324
50165677,5.5481
50165678,6.4202
50165679,5.9307
50165680,6.083
50165681,5.5106
50165682,6.0434
50165683,5.5981
50165684,5.2139
50165685,6.2604
50165686,5.4427
50165687,5.7307
50165691,6.2111
50169950,7.5331
50169951,8.1675
50169952,7.3134
50169953,7.4572
50169954,7.0985
50171285,6.04
50171290,8.4559
50171296,7.6506
50172158,7.1687
50172897,7.2218
50172898,6.8182
50172899,7.5229
50172900,6.8097
50172901,6.6799
50172902,6.9031
50172903,6.9318
50172904,6.6364
50172905,6.8508
50172906,7.4949
50172907,7.6198
50172908,6.0799
50172909,6.6517
50172910,7.1249
50174316,7.9586
50175104,6.2218
50175105,5.6198
50175107,6.8239
50175108,6.5229
50175109,6.1594
50175112,6.2218
50175114,6.3979
50175117,6.2614
50175119,5.943
50175120,6.4604
50175121,5.6198
50175122,5.8099
50175123,5.3098
50175126,6.699
50175128,6.301
50175130,5.5528
50175132,5.1938
50175134,6.301
50175136,5.2676
50175137,5.4318
50175138,6.301
50176401,7.5528
50176402,9
50176403,9.1109
50176404,8.2474
50176405,7.4202
50176406,7.8099
50176407,9.8495
50176408,7.585
50176409,8.3979
50176410,8.412
50176411,9.7615
50176412,8.3495
50176413,8.699
50176414,8.054
